"","V1"
"id00001",7
"id00002",8
"id00003",8
"id00004",9
"id00005",6
"id00006",1
"id00007",1
"id00009",2
"id00010",4
"id00012",1
"id00014",1
"id00015",4
"id00016",3
"id00017",9
"id00019",7
"id00021",5
"id00022",3
"id00024",5
"id00027",4
"id00028",4
"id00029",5
"id00030",5
"id00031",3
"id00032",6
"id00033",3
"id00034",5
"id00035",2
"id00036",7
"id00037",8
"id00038",7
"id00039",9
"id00042",4
"id00043",6
"id00045",3
"id00048",3
"id00049",3
"id00050",5
"id00051",8
"id00052",3
"id00053",1
"id00054",2
"id00056",2
"id00057",6
"id00060",9
"id00061",3
"id00062",9
"id00063",3
"id00064",6
"id00065",6
"id00067",9
"id00068",5
"id00070",7
"id00073",6
"id00075",1
"id00077",4
"id00078",3
"id00079",3
"id00080",5
"id00081",3
"id00082",8
"id00084",2
"id00086",2
"id00090",7
"id00091",1
"id00093",10
"id00094",2
"id00095",8
"id00097",7
"id00098",7
"id00099",2
"id00100",10
"id00103",2
"id00106",2
"id00107",1
"id00108",6
"id00109",10
"id00113",8
"id00117",7
"id00119",9
"id00120",2
"id00122",1
"id00123",1
"id00127",10
"id00128",10
"id00129",3
"id00130",3
"id00131",7
"id00133",9
"id00135",7
"id00136",2
"id00138",7
"id00141",3
"id00143",9
"id00144",1
"id00145",5
"id00146",3
"id00147",5
"id00148",2
"id00149",5
"id00150",8
"id00151",8
"id00152",6
"id00153",3
"id00154",7
"id00155",1
"id00156",4
"id00158",7
"id00159",4
"id00161",2
"id00162",2
"id00163",7
"id00164",3
"id00165",2
"id00166",1
"id00168",1
"id00169",10
"id00170",3
"id00171",2
"id00172",7
"id00174",3
"id00175",10
"id00179",10
"id00180",9
"id00181",8
"id00182",5
"id00185",5
"id00186",3
"id00187",1
"id00188",1
"id00193",3
"id00197",8
"id00198",5
"id00200",3
"id00201",7
"id00202",1
"id00204",2
"id00205",9
"id00207",1
"id00208",9
"id00209",8
"id00211",9
"id00212",2
"id00213",7
"id00216",2
"id00218",4
"id00220",10
"id00221",7
"id00222",9
"id00223",6
"id00224",7
"id00225",8
"id00226",2
"id00227",1
"id00229",7
"id00230",1
"id00232",6
"id00234",1
"id00236",8
"id00237",1
"id00238",3
"id00239",4
"id00241",7
"id00242",2
"id00244",5
"id00246",10
"id00248",7
"id00250",1
"id00251",9
"id00252",6
"id00253",1
"id00254",10
"id00255",2
"id00256",1
"id00257",2
"id00259",7
"id00260",6
"id00261",9
"id00264",4
"id00265",1
"id00267",8
"id00268",4
"id00270",4
"id00271",1
"id00272",10
"id00275",10
"id00276",4
"id00277",9
"id00278",3
"id00279",1
"id00280",2
"id00281",3
"id00282",7
"id00283",9
"id00284",6
"id00285",10
"id00286",9
"id00287",3
"id00288",1
"id00289",10
"id00290",8
"id00291",6
"id00292",6
"id00293",5
"id00295",9
"id00297",7
"id00299",5
"id00301",5
"id00302",3
"id00303",7
"id00304",5
"id00306",5
"id00307",3
"id00308",7
"id00309",10
"id00310",1
"id00311",10
"id00312",6
"id00314",8
"id00315",9
"id00316",5
"id00317",9
"id00318",6
"id00321",8
"id00322",4
"id00323",3
"id00324",7
"id00332",5
"id00334",2
"id00336",10
"id00337",1
"id00338",3
"id00341",7
"id00353",4
"id00354",9
"id00357",4
"id00358",3
"id00359",5
"id00361",1
"id00362",3
"id00363",4
"id00365",10
"id00368",4
"id00369",5
"id00370",5
"id00371",8
"id00374",6
"id00376",3
"id00377",6
"id00379",2
"id00381",8
"id00383",2
"id00384",2
"id00385",6
"id00386",8
"id00387",10
"id00388",9
"id00389",3
"id00390",3
"id00391",7
"id00392",6
"id00393",8
"id00394",2
"id00396",7
"id00400",6
"id00402",2
"id00403",5
"id00404",6
"id00405",3
"id00408",1
"id00410",9
"id00413",7
"id00415",10
"id00418",5
"id00419",8
"id00420",3
"id00421",4
"id00423",9
"id00425",1
"id00427",5
"id00429",2
"id00431",6
"id00433",7
"id00434",3
"id00435",1
"id00436",8
"id00437",1
"id00438",10
"id00439",9
"id00440",4
"id00441",6
"id00442",2
"id00444",1
"id00445",3
"id00446",2
"id00447",9
"id00448",6
"id00450",4
"id00452",6
"id00453",3
"id00454",5
"id00455",8
"id00457",5
"id00460",3
"id00464",6
"id00465",8
"id00466",1
"id00467",1
"id00469",1
"id00470",1
"id00471",8
"id00472",8
"id00473",2
"id00474",7
"id00475",8
"id00476",5
"id00480",1
"id00482",2
"id00483",4
"id00484",7
"id00485",1
"id00489",9
"id00490",6
"id00495",6
"id00496",5
"id00498",6
"id00499",4
"id00501",2
"id00505",6
"id00506",4
"id00508",7
"id00510",7
"id00512",1
"id00514",3
"id00515",3
"id00516",1
"id00518",1
"id00519",6
"id00520",7
"id00521",9
"id00522",6
"id00523",7
"id00524",7
"id00526",9
"id00528",3
"id00529",1
"id00531",3
"id00532",8
"id00533",10
"id00535",7
"id00537",1
"id00538",1
"id00539",2
"id00541",2
"id00542",4
"id00545",10
"id00546",10
"id00547",1
"id00548",4
"id00550",7
"id00551",2
"id00552",2
"id00553",1
"id00554",8
"id00555",6
"id00556",6
"id00558",5
"id00559",2
"id00560",9
"id00562",8
"id00564",4
"id00566",7
"id00567",4
"id00569",4
"id00570",1
"id00572",6
"id00575",2
"id00576",3
"id00577",2
"id00578",1
"id00582",2
"id00584",6
"id00587",2
"id00588",3
"id00589",5
"id00590",2
"id00591",4
"id00593",5
"id00594",1
"id00596",6
"id00597",1
"id00598",1
"id00601",3
"id00602",7
"id00604",5
"id00605",3
"id00606",7
"id00607",4
"id00609",1
"id00610",3
"id00611",2
"id00612",1
"id00614",5
"id00615",2
"id00616",1
"id00619",2
"id00620",6
"id00621",10
"id00622",6
"id00623",3
"id00624",3
"id00625",2
"id00629",6
"id00631",3
"id00632",1
"id00633",4
"id00634",3
"id00635",9
"id00636",6
"id00637",4
"id00638",5
"id00639",1
"id00640",3
"id00643",1
"id00644",4
"id00645",10
"id00646",2
"id00647",5
"id00649",9
"id00650",2
"id00651",4
"id00653",4
"id00654",3
"id00657",1
"id00660",5
"id00661",9
"id00662",4
"id00663",6
"id00664",7
"id00665",3
"id00666",6
"id00667",4
"id00668",2
"id00669",3
"id00671",3
"id00672",5
"id00673",5
"id00674",1
"id00675",2
"id00676",1
"id00677",10
"id00679",3
"id00680",6
"id00682",8
"id00683",4
"id00685",9
"id00688",3
"id00689",2
"id00690",2
"id00691",6
"id00693",6
"id00694",8
"id00695",8
"id00698",7
"id00700",2
"id00702",7
"id00704",10
"id00705",5
"id00706",3
"id00707",6
"id00708",4
"id00709",7
"id00710",4
"id00711",4
"id00712",5
"id00713",7
"id00714",6
"id00715",2
"id00716",9
"id00717",4
"id00719",4
"id00720",5
"id00723",10
"id00724",3
"id00725",8
"id00726",5
"id00727",2
"id00728",3
"id00730",4
"id00732",2
"id00734",1
"id00736",1
"id00738",5
"id00739",10
"id00740",6
"id00741",3
"id00742",3
"id00743",5
"id00745",4
"id00746",2
